"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home","skills"
1686323,"Machine Learning Engineer","NeuralSpace","Bengaluru, Karnataka, India","Full-time","101029.0","2023-08-05","","python"
1686323,"Machine Learning Engineer","NeuralSpace","Bengaluru, Karnataka, India","Full-time","101029.0","2023-08-05","","java"
1686323,"Machine Learning Engineer","NeuralSpace","Bengaluru, Karnataka, India","Full-time","101029.0","2023-08-05","","r"
1686323,"Machine Learning Engineer","NeuralSpace","Bengaluru, Karnataka, India","Full-time","101029.0","2023-08-05","","keras"
1686323,"Machine Learning Engineer","NeuralSpace","Bengaluru, Karnataka, India","Full-time","101029.0","2023-08-05","","pytorch"
1686323,"Machine Learning Engineer","NeuralSpace","Bengaluru, Karnataka, India","Full-time","101029.0","2023-08-05","","scikit-learn"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","sql"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","python"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","nosql"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","java"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","firebase"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","azure"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","databricks"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","firebase"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","pyspark"
1580806,"Machine Learning Engineer II","InMobi","Bengaluru, Karnataka, India","Full-time","101029.0","2023-09-01","","hadoop"
1585915,"Machine Learning Engineer","Eduauraa Technologies Pvt. Ltd","Andheri, Maharashtra, India","Full-time","101029.0","2023-04-20","","python"
1585915,"Machine Learning Engineer","Eduauraa Technologies Pvt. Ltd","Andheri, Maharashtra, India","Full-time","101029.0","2023-04-20","","java"
1585915,"Machine Learning Engineer","Eduauraa Technologies Pvt. Ltd","Andheri, Maharashtra, India","Full-time","101029.0","2023-04-20","","r"
1585915,"Machine Learning Engineer","Eduauraa Technologies Pvt. Ltd","Andheri, Maharashtra, India","Full-time","101029.0","2023-04-20","","keras"
1585915,"Machine Learning Engineer","Eduauraa Technologies Pvt. Ltd","Andheri, Maharashtra, India","Full-time","101029.0","2023-04-20","","pytorch"
1585915,"Machine Learning Engineer","Eduauraa Technologies Pvt. Ltd","Andheri, Maharashtra, India","Full-time","101029.0","2023-04-20","","scikit-learn"
580497,"Pricing Data Analyst","Etraveli Group","Mumbai, Maharashtra, India","Full-time","100500.0","2023-07-31","","excel"
580497,"Pricing Data Analyst","Etraveli Group","Mumbai, Maharashtra, India","Full-time","100500.0","2023-07-31","","looker"
580497,"Pricing Data Analyst","Etraveli Group","Mumbai, Maharashtra, India","Full-time","100500.0","2023-07-31","","qlik"
112064,"Senior Associate CSR/ESG Data Analyst","Publicis Groupe","Bengaluru, Karnataka, India","Full-time","100500.0","2023-06-26","","excel"
88344,"Cosultant/Sr. Consultant, Data Analyst - DBA","Fresh Gravity","Pune, Maharashtra, India","Full-time","100500.0","2023-01-05","","sql"
88344,"Cosultant/Sr. Consultant, Data Analyst - DBA","Fresh Gravity","Pune, Maharashtra, India","Full-time","100500.0","2023-01-05","","azure"
88344,"Cosultant/Sr. Consultant, Data Analyst - DBA","Fresh Gravity","Pune, Maharashtra, India","Full-time","100500.0","2023-01-05","","aws"
758031,"Data Analyst","Openlogix Corporation","Visakhapatnam, Andhra Pradesh, India","Full-time","100500.0","2023-06-07","","flow"
729465,"Data Analyst - Air Content","Etraveli Group","Mumbai, Maharashtra, India","Full-time","98500.0","2023-04-13","","excel"
729465,"Data Analyst - Air Content","Etraveli Group","Mumbai, Maharashtra, India","Full-time","98500.0","2023-04-13","","tableau"
729465,"Data Analyst - Air Content","Etraveli Group","Mumbai, Maharashtra, India","Full-time","98500.0","2023-04-13","","power bi"
729465,"Data Analyst - Air Content","Etraveli Group","Mumbai, Maharashtra, India","Full-time","98500.0","2023-04-13","","looker"
315816,"Data Analyst - Upstream","Energy Aspects Ltd","Kolkata, West Bengal, India","Full-time","98500.0","2023-05-11","","sql"
315816,"Data Analyst - Upstream","Energy Aspects Ltd","Kolkata, West Bengal, India","Full-time","98500.0","2023-05-11","","python"
315816,"Data Analyst - Upstream","Energy Aspects Ltd","Kolkata, West Bengal, India","Full-time","98500.0","2023-05-11","","excel"
687105,"Data Engineering Analyst (R-13585)","Dun & Bradstreet","Hyderabad, Telangana, India","Full-time","98301.5","2023-01-11","","sql"
687105,"Data Engineering Analyst (R-13585)","Dun & Bradstreet","Hyderabad, Telangana, India","Full-time","98301.5","2023-01-11","","python"
687105,"Data Engineering Analyst (R-13585)","Dun & Bradstreet","Hyderabad, Telangana, India","Full-time","98301.5","2023-01-11","","pyspark"
1588905,"Go Share - Senior Data Engineer – Visa AI as Services","Visa","Bengaluru, Karnataka, India","Full-time","98283.0","2023-03-02","","java"
1588905,"Go Share - Senior Data Engineer – Visa AI as Services","Visa","Bengaluru, Karnataka, India","Full-time","98283.0","2023-03-02","","go"
1588905,"Go Share - Senior Data Engineer – Visa AI as Services","Visa","Bengaluru, Karnataka, India","Full-time","98283.0","2023-03-02","","golang"
496232,"Graduate Data Engineer","YouGov","Mumbai, Maharashtra, India","Full-time","97444.0","2023-06-05","","sql"
496232,"Graduate Data Engineer","YouGov","Mumbai, Maharashtra, India","Full-time","97444.0","2023-06-05","","excel"
496232,"Graduate Data Engineer","YouGov","Mumbai, Maharashtra, India","Full-time","97444.0","2023-06-05","","power bi"
743029,"Associate Data Engineer | Velotio Technologies","Velotio","Pune, Maharashtra, India","Full-time","97444.0","2023-06-27","","sql"
